year,month,catch_pw_kg,effort_das,obs_cpue,hcr_cpue
2002,1,325688.3751,388,838.3455433,838.3455433
2002,2,415042.4753,454,913.7471128,913.7471128
2002,3,428434.1478,421,1017.857037,991.829556
2002,4,405033.5167,435,930.4079611,945.7633599
2002,5,331839.4142,374,888.0145625,902.4517618
2002,6,299650.033,380,787.5757062,816.2947201
2002,7,339336.1376,424,800.5314576,804.4722732
2002,8,416196.7491,491,847.9296621,837.0653148
2002,9,421179.0981,566,743.6962224,767.0384955
2002,10,489159.9401,563,868.9346599,843.4606188
2002,11,325701.8273,503,647.8889608,696.7818753
2002,12,652876.4762,685,952.8320988,888.8195429
2003,1,401282.5451,433,925.9843536,916.6931509
2003,2,522872.7604,532,983.3237255,966.6660818
2003,3,419553.0145,418,1004.626013,995.1360301
2003,4,343123.8775,449,764.1234932,821.8766275
2003,5,463836.2243,601,771.6769894,784.2268989
2003,6,438603.4297,511,857.721004,839.3474777
2003,7,425209.7855,523,812.5906718,819.2798732
2003,8,268061.8675,364,736.4682362,757.1711455
2003,9,235090.9499,278,845.9410592,823.7485808
2003,10,404604.5642,400,1010.517791,963.8254882
2003,11,310429.4121,349,889.2177759,907.869704
2003,12,325977.2228,520,627.2555471,697.4090863
2004,1,402915.1031,490,822.9131345,791.5371224
2004,2,404785.7735,570,710.2143225,730.5450225
2004,3,402468.5531,533,755.0188528,748.9003952
2004,4,519129.549,524,991.1283833,930.5713862
2004,5,539017.4933,496,1086.338401,1047.396647
2004,6,513859.8172,532,965.12107,985.6899643
2004,7,313767.7941,480,654.1651026,737.046318
2004,8,253199.3144,482,525.3242765,578.2547869
2004,9,284020.6374,438,648.2139387,630.7241507
2004,10,312487.6096,446,700.9772011,683.4139385
2004,11,222540.389,356,624.612053,639.3125244
2004,12,213149.895,372,573.590004,590.0206341
2005,1,314424.5557,401,783.8586481,735.3991446
2005,2,446872.2276,479,932.4370233,883.1775536
2005,3,426679.1127,482,884.5127415,884.1789445
2005,4,383114.837,407,942.1901332,927.687336
2005,5,430048.0044,486,885.2077126,895.8276185
2005,6,286289.5822,455,628.6365072,695.434285
2005,7,334573.8173,531,629.6172852,646.0715352
2005,8,266560.348,447,595.6778691,608.2762856
2005,9,301932.7243,488,619.0447644,616.3526447
2005,10,294005.1654,440,667.7983201,654.9369012
2005,11,301092.5456,457,658.3798617,657.5191216
2005,12,259819.5953,386,672.4142938,668.6905007
2006,1,302288.121,385,784.5828296,755.6097474
2006,2,462080.9822,517,893.0898844,858.7198501
2006,3,480772.3647,509,944.5432697,923.0874148
2006,4,493010.3249,517,954.5108161,946.6549658
2006,5,395116.7353,496,796.492917,834.0334292
2006,6,415582.3099,457,908.9009424,890.1840641
2006,7,396642.754,460,861.8735635,868.9511886
2006,8,300039.0125,335,895.8979789,889.1612813
2006,9,281543.3747,399,705.3447073,751.2988508
2006,10,338614.7139,436,776.4232211,770.1421285
2006,11,378309.3715,419,903.9593482,870.5050433
2006,12,459383.6278,552,832.3663079,841.9009917
2007,1,457798.5615,453,1011.652553,969.2146624
2007,2,401389.699,491,817.3472372,855.3140935
2007,3,368186.0664,438,840.2479003,844.0144486
2007,4,315576.4187,362,872.4477773,865.3394451
2007,5,384577.1683,435,883.3837662,878.872686
2007,6,399572.2017,505,790.9119278,812.9021173
2007,7,304073.2804,392,775.5578915,784.893948
2007,8,302748.5399,408,741.2241112,752.1415704
2007,9,124973.2495,232,539.5926134,592.7298526
2007,10,175616.0834,345,509.3239669,530.1754383
2007,11,99784.17558,183,544.9161639,541.2309825
2007,12,391766.8695,469,835.443442,761.8903271
2008,1,447769.9083,458,977.6635553,923.7202482
2008,2,320841.8921,372,862.4782046,877.7887155
2008,3,275325.2994,382,720.746857,760.0073216
2008,4,332945.3372,373,892.614845,859.4629641
2008,5,239458.4977,244,981.3872858,950.9062054
2008,6,228845.8146,311,735.8386321,789.6055254
2008,7,459393.2314,475,967.143645,922.7591151
2008,8,354150.2143,433,817.8988782,844.1139374
2008,9,287882.6832,438,657.2664,703.9782843
2008,10,274654.6013,505,543.8704976,583.8974443
2008,11,304555.8273,435,700.1283385,671.070615
2008,12,217617.5639,389,559.4281849,587.3387924
2009,1,294342.3803,428,687.7158417,662.6215794
2009,2,458514.6898,360,1273.651916,1120.894332
2009,3,516788.092,403,1282.352586,1241.988022
2009,4,580321.0932,360,1612.003037,1519.499283
2009,5,506632.337,422,1200.550562,1280.287742
2009,6,292624.0412,377,776.1910907,902.2152535
2009,7,206837.7746,312,662.9415852,722.7600022
2009,8,315865.5643,383,824.7142671,799.2257009
2009,9,385808.2327,413,934.1603697,900.4267025
2009,10,453249.7326,499,908.3160974,906.3437487
2009,11,325524.9139,452,720.1878626,766.7268342
2009,12,198865.7489,346,574.7564997,622.7490833
2010,1,332880.7256,432,770.5572352,733.6051973
2010,2,397871.224,413,963.3685811,905.9277351
2010,3,564639.5059,411,1373.818749,1256.845996
2010,4,390327.8859,316,1235.214829,1240.622621
2010,5,380604.0332,396,961.121296,1030.996627
2010,6,407485.8491,347,1174.310804,1138.48226
2010,7,343331.0935,379,905.8867901,964.0356576
2010,8,270285.4653,409,660.8446584,736.6424082
2010,9,63339.21878,149,425.0954281,502.9821731
2010,10,111864.5278,293,381.7901972,412.0881912
2010,11,96613.04734,301,320.9735792,343.7522322
2010,12,40518.17295,131,309.2990301,317.9123307
2011,1,289905.6418,332,873.2097646,734.3854061
2011,2,331173.0043,375,883.1280115,845.9423601
2011,3,348893.8653,387,901.5345356,887.6364917
2011,4,295076.3773,302,977.074097,954.7146957
2011,5,372330.196,369,1009.024921,995.447365
2011,6,255761.5897,308,830.3947716,871.6579199
2011,7,280513.4311,356,787.9590762,808.8837872
2011,8,119590.708,217,551.1092533,615.5528868
2011,9,213594.0773,307,695.7461801,675.6978567
2011,10,176410.157,216,816.71369,781.4597317
2011,11,269648.2099,300,898.8273663,869.4854576
2011,12,312457.4377,323,967.3604882,942.8917305
2012,1,313722.585,353,888.7325355,902.2723343
2012,2,295514.5125,315,938.1413094,929.1740656
2012,3,262925.5989,348,755.53333,798.9435139
2012,4,309414.4642,337,918.1438107,888.3437365
2012,5,333661.0431,398,838.3443294,850.8441812
2012,6,309294.6032,340,909.6900093,894.9785523
2012,7,241671.7036,353,684.6223898,737.2114304
2012,8,232808.1265,350,665.1660758,683.1774144
2012,9,170257.2515,293,581.0827695,606.6064308
2012,10,205167.1181,255,804.5769337,755.084308
2012,11,338741.8747,341,993.3779318,933.8045258
2012,12,250015.836,304,822.4205133,850.2665164
2013,1,245539.1668,317,774.5715042,793.4952572
2013,2,209302.6792,272,769.4951441,775.4951724
2013,3,242798.2529,301,806.638714,798.8528286
2013,4,263350.2408,388,678.7377339,708.7665076
2013,5,357631.0737,366,977.1340811,910.0421877
2013,6,453065.484,383,1182.9386,1114.714497
2013,7,436618.792,431,1013.03664,1038.456105
